Achtelky	achtelky
Brno, Ivanovické náměstí	brno ivanovické náměstí; brna ivanovického náměstí; brna ivanovickýho náměstí; brnu ivanovickýmu náměstí; brnu ivanovickému náměstí; brno ivanovický náměstí; brnu ivanovickym náměstí; brnu ivanovickým náměstí; brnu ivanovickém náměstí; brně ivanovickym náměstí; brně ivanovickým náměstí; brně ivanovickém náměstí
Brno, Jandáskova	brno jandáskova; brna jandáskovy; brnu jandáskově; brno jandáskovu; brně jandáskově
Brno, Janáčkovo divadlo	brno janáčkovo divadlo; brna janáčkova divadla; brnu janáčkovu divadlu; brnu janáčkovu divadle; brnu janáčkově divadle; brnu janáčkově divadlu; brně janáčkovu divadle; brně janáčkovu divadlu; brně janáčkově divadle; brně janáčkově divadlu
Brno, Jarní ČD	brno jarní čd; brna jarního čd; brnu jarnímu čd; brnu jarnim čd; brnu jarním čd; brně jarnim čd; brně jarním čd
Brno, Jehnice	brno jehnice; brna jehnic; brna jehnice; brna jehnicí; brnu jehnici; brnu jehnicím; brno jehnici; brnu jehnicích; brně jehnici; brně jehnicích
Brno, Jelenice	brno jelenice; brna jelenic; brna jelenice; brna jelenicí; brnu jelenici; brnu jelenicím; brno jelenici; brnu jelenicích; brně jelenici; brně jelenicích
Brno, Jemelkova	brno jemelkova; brna jemelkovy; brnu jemelkově; brno jemelkovu; brně jemelkově
Brno, Jezerní	brno jezerní; brna jezerního; brnu jezernímu; brnu jezernim; brnu jezerním; brně jezernim; brně jezerním
Brno, Jindřichova	brno jindřichova; brna jindřichovy; brnu jindřichově; brno jindřichovu; brně jindřichově
Brno, Jiránkova	brno jiránkova; brna jiránkovy; brnu jiránkově; brno jiránkovu; brně jiránkově
Brno, Jugoslávská	brno jugoslávská; brna jugoslávský; brna jugoslávské; brnu jugoslávský; brnu jugoslávské; brno jugoslávskou; brně jugoslávský; brně jugoslávské
Brno, Juliánov	brno juliánov; brna juliánova; brnu juliánovu; brnu juliánově; brně juliánovu; brně juliánově
Brno, Jundrov	brno jundrov; brna jundrova; brnu jundrovu; brnu jundrově; brně jundrovu; brně jundrově
Brno, Jundrov, hřiště	brno jundrov hřiště; brna jundrova hřiště; brnu jundrovu hřišti; brnu jundrově hřišti; brně jundrovu hřišti; brně jundrově hřišti
Brno, Jundrovská	brno jundrovská; brna jundrovský; brna jundrovské; brnu jundrovský; brnu jundrovské; brno jundrovskou; brně jundrovský; brně jundrovské
Brno, Jungmannova	brno jungmannova; brna jungmannovy; brnu jungmannově; brno jungmannovu; brně jungmannově
Brno, Jílkova	brno jílkova; brna jílkovy; brnu jílkově; brno jílkovu; brně jílkově
Brno, Jírova	brno jírova; brna jírovy; brnu jírově; brno jírovu; brně jírově
Brno, Jírovcova	brno jírovcova; brna jírovcovy; brnu jírovcově; brno jírovcovu; brně jírovcově
Brno, K terminálu	brno k terminálu; brna k terminálu; brnu k terminálu; brně k terminálu
Brno, Kamechy	brno kamechy; brna kamech; brnu kamechám; brnu kamechách; brně kamechách
Brno, Kamenice	brno kamenice; brna kamenic; brna kamenice; brna kamenicí; brnu kamenici; brnu kamenicím; brno kamenici; brnu kamenicích; brně kamenici; brně kamenicích
